Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Microrhopias quixensis,Dot-winged Antwren,0.5599,C:\Users\JOINER PEREZ\Desktop\kal\con ia\mejorados\fragmento_1070.wav
3.0,6.0,Synallaxis candei,White-whiskered Spinetail,0.3889,C:\Users\JOINER PEREZ\Desktop\kal\con ia\mejorados\fragmento_1070.wav
