Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Xiphorhynchus susurrans,Cocoa Woodcreeper,0.2159,C:\Users\JOINER PEREZ\Desktop\kal\con ia\mejorados\fragmento_1078.wav
0.0,3.0,Myrmeciza longipes,White-bellied Antbird,0.2043,C:\Users\JOINER PEREZ\Desktop\kal\con ia\mejorados\fragmento_1078.wav
0.0,3.0,Furnarius leucopus,Pale-legged Hornero,0.1950,C:\Users\JOINER PEREZ\Desktop\kal\con ia\mejorados\fragmento_1078.wav
3.0,6.0,Furnarius leucopus,Pale-legged Hornero,0.1560,C:\Users\JOINER PEREZ\Desktop\kal\con ia\mejorados\fragmento_1078.wav
