Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Chiroxiphia lanceolata,Lance-tailed Manakin,0.2300,C:\Users\JOINER PEREZ\Desktop\kal\con ia\mejorados\fragmento_12.wav
3.0,6.0,Tapera naevia,Striped Cuckoo,0.1024,C:\Users\JOINER PEREZ\Desktop\kal\con ia\mejorados\fragmento_12.wav
