Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Schiffornis stenorhyncha,Russet-winged Schiffornis,0.1528,C:\Users\JOINER PEREZ\Desktop\kal\con ia\fragmentos seleccionados\fragmento_8.wav
3.0,6.0,Cyphorhinus phaeocephalus,Song Wren,0.1206,C:\Users\JOINER PEREZ\Desktop\kal\con ia\fragmentos seleccionados\fragmento_8.wav
