Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Furnarius leucopus,Pale-legged Hornero,0.9409,C:\Users\JOINER PEREZ\Desktop\kal\con ia\fragmentos\fragmento_213.wav
0.0,3.0,Myrmeciza longipes,White-bellied Antbird,0.6233,C:\Users\JOINER PEREZ\Desktop\kal\con ia\fragmentos\fragmento_213.wav
3.0,6.0,Furnarius leucopus,Pale-legged Hornero,0.4843,C:\Users\JOINER PEREZ\Desktop\kal\con ia\fragmentos\fragmento_213.wav
3.0,6.0,Cercomacroides tyrannina,Dusky Antbird,0.2351,C:\Users\JOINER PEREZ\Desktop\kal\con ia\fragmentos\fragmento_213.wav
