Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Pitangus sulphuratus,Great Kiskadee,0.1087,C:\Users\JOINER PEREZ\Desktop\kal\con ia\fragmentos\fragmento_2617.wav
3.0,6.0,Synallaxis candei,White-whiskered Spinetail,0.2505,C:\Users\JOINER PEREZ\Desktop\kal\con ia\fragmentos\fragmento_2617.wav
