Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Furnarius leucopus,Pale-legged Hornero,0.1064,C:\Users\JOINER PEREZ\Desktop\kal\con ia\ultima carpeta\fragmento_670.wav
3.0,6.0,Furnarius leucopus,Pale-legged Hornero,0.5833,C:\Users\JOINER PEREZ\Desktop\kal\con ia\ultima carpeta\fragmento_670.wav
